# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	57682
#@/user_id	Office-PC
a 	啊	c=62 d=0.0314298 t=57682
bu ti gong 	不提供	c=1 d=1 t=52416
bu ti jiao 	不提交	c=1 d=1 t=37570
bu tong 	不同	c=12 d=0.109154 t=57682
bu tong 	不通	c=38 d=0.108609 t=57682
bu tong yi 	不統一	c=2 d=0.353455 t=57682
bu tuo 	不妥	c=1 d=1.77804e-006 t=57682
bu wan quan 	不完全	c=0 d=0.1 t=56590
bu wan zheng 	不完整	c=2 d=2.37946e-022 t=57682
bu wei 	不爲	c=1 d=1 t=52401
bu wei hu 	不維護	c=1 d=1 t=54073
bu wo men 	不我們	c=1 d=6.11441e-037 t=57682
bu xi guan 	不習慣	c=1 d=5.99416e-068 t=57682
bu xi han 	不稀罕	c=1 d=1.94112e-009 t=57682
bu xi huan 	不喜歡	c=2 d=1.22765e-060 t=57682
bu xia 	不下	c=0 d=2.59224e-060 t=57682
bu xia 	補下	c=1 d=1 t=44286
bu xia fa 	不下發	c=2 d=4.26386e-059 t=57682
bu xian shi 	不顯示	c=3 d=1.35427e-009 t=57682
bu xian yu 	不限於	c=1 d=7.98355e-028 t=57682
bu xiang 	不想	c=6 d=0.29523 t=57682
bu xiang xin 	不相信	c=3 d=3.22468e-013 t=57682
bu xie 	不寫	c=0 d=9.812e-014 t=57682
bu xin 	不信	c=1 d=1 t=56166
bu xin ren 	不信任	c=1 d=1 t=52236
bu xing 	不行	c=22 d=0.373727 t=57682
bu xing 	步行	c=1 d=1 t=35110
bu xiu gai 	不修改	c=2 d=9.55967e-030 t=57682
bu xu yao 	不需要	c=35 d=0.000792818 t=57682
bu xuan ze 	不選擇	c=1 d=1 t=51291
bu yan zhong 	不嚴重	c=1 d=2.99224e-012 t=57682
bu yao 	不要	c=47 d=0.00280096 t=57682
bu yao ji 	不要急	c=1 d=0.00302755 t=57682
bu yao yi wei 	不要以爲	c=1 d=1.62158e-040 t=57682
bu ye 	不也	c=1 d=1.48919e-038 t=57682
bu yi ding 	不一定	c=8 d=1.77435e-011 t=57682
bu yi lai 	不依賴	c=4 d=0.0816756 t=57682
bu yi lou 	不遺漏	c=1 d=7.58902e-020 t=57682
bu yi xia 	補一下	c=3 d=1 t=50641
bu yi yang 	不一樣	c=10 d=0.126818 t=57682
bu yi zhi 	不一致	c=1 d=1 t=51312
bu yin cang 	不隱藏	c=3 d=4.17217e-011 t=57682
bu yin dao 	不引導	c=1 d=1.7838e-044 t=57682
bu ying gai 	不應該	c=8 d=0.101774 t=57682
bu ying xiang 	不影響	c=6 d=0.591555 t=57682
bu yong 	不用	c=29 d=0.904837 t=57682
bu yong gong zuo 	不用工作	c=2 d=2.45101e-047 t=57682
bu yong li 	不用理	c=1 d=1 t=48272
bu yong ping 	不用評	c=1 d=1.30854e-046 t=57682
bu yong xie 	不用謝	c=1 d=1 t=48959
bu zai 	不再	c=2 d=3.15638e-052 t=57682
bu zai 	不在	c=1 d=1 t=49306
bu zhan 	不佔	c=1 d=2.85261e-038 t=57682
bu zhan yong 	不佔用	c=1 d=1.19547e-071 t=57682
bu zhang 	部長	c=4 d=2.14543e-028 t=57682
bu zhang tu 	補張圖	c=1 d=2.12198e-057 t=57682
bu zhen xi 	不珍惜	c=1 d=1 t=37463
bu zheng que 	不正確	c=4 d=1.00436 t=56675
bu zhi 	不值	c=1 d=3.67093e-064 t=57682
bu zhi 	不只	c=1 d=1 t=40673
bu zhi 	不止	c=8 d=1.76917e-006 t=57682
bu zhi 	不置	c=0 d=0.1 t=55497
bu zhi chi 	不支持	c=13 d=1.00813e-007 t=57682
bu zhi dao 	不知道	c=50 d=0.00546076 t=57682
bu zhi jie 	不直接	c=1 d=1 t=55621
bu zhou 	步驟	c=3 d=5.05739e-010 t=57682
bu zhuan ye 	不專業	c=2 d=1.96504e-006 t=57682
bu zhun que 	不準確	c=2 d=1.06856 t=35775
bu zhuo diao 	不着調	c=1 d=1 t=46989
bu zi dong 	不自動	c=1 d=1 t=57644
bu zu 	不足	c=1 d=1.44592e-044 t=57682
bu zu 	不阻	c=0 d=2.26218e-046 t=57682
bu zun shou 	不遵守	c=2 d=1.99735e-012 t=57682
bu zuo 	不做	c=7 d=7.62217e-008 t=57682
ca che 	擦車	c=1 d=1.20093e-007 t=57682
cai 	才	c=18 d=0.0502874 t=57682
cai 	猜	c=4 d=1.71449e-019 t=57682
cai 	踩	c=1 d=1.11222e-016 t=57682
cai ce 	猜測	c=3 d=1.87915e-039 t=57682
cai dan 	菜單	c=2 d=3.86873e-006 t=57682
cai dan jian 	菜單鍵	c=1 d=1 t=55651
cai dui 	纔對	c=4 d=3.70026e-040 t=57682
cai hong 	彩虹	c=0 d=4.29018e-046 t=57682
cai hong se 	彩虹色	c=1 d=4.31169e-045 t=57682
cai hui 	纔會	c=10 d=6.24138e-014 t=57682
cai liao 	材料	c=10 d=4.1496e-049 t=57682
cai neng 	才能	c=12 d=0.0095616 t=57682
cai neng neng 	才能能	c=1 d=4.24546e-010 t=57682
cai ni 	才你	c=1 d=1 t=37518
cai ni 	猜你	c=15 d=1.36409 t=57649
cai ni xi huan 	猜你喜歡	c=23 d=1.50387e-013 t=57682
cai qu 	纔去	c=2 d=1.41074e-019 t=57682
cai shang 	才上	c=1 d=3.23023e-030 t=57682
cai shi 	纔是	c=1 d=4.27619e-036 t=57682
cai shi chang 	菜市場	c=2 d=1.81873 t=35095
cai xin 	彩信	c=2 d=4.14645e-035 t=57682
cai xing 	才行	c=2 d=7.80633e-058 t=57682
cai yong 	採用	c=13 d=1.12031e-013 t=57682
cai yong hu 	才用戶	c=1 d=1.10363e-013 t=57682
cai you 	纔有	c=1 d=6.29078e-048 t=57682
can 	參	c=1 d=1.5963e-061 t=57682
can 	慘	c=1 d=3.85312e-075 t=57682
can 	殘	c=1 d=1.12938e-049 t=57682
can hui 	參會	c=1 d=5.97869e-067 t=57682
can jia 	參加	c=1 d=7.52606e-069 t=57682
can kao 	參考	c=18 d=2.4305e-007 t=57682
can mou 	參謀	c=1 d=9.63542e-064 t=57682
can shu 	參數	c=39 d=0.00047022 t=57682
can zhao 	參照	c=1 d=1 t=35849
cao 	曹	c=1 d=1.56714e-050 t=57682
cao 	糙	c=1 d=9.12599e-072 t=57682
cao 	草	c=1 d=6.12711e-032 t=57682
cao gao 	草稿	c=0 d=0.1 t=42346
cao gao ba 	草稿吧	c=1 d=1 t=42347
cao mei 	草莓	c=1 d=5.64335e-035 t=57682
cao zuo 	操作	c=30 d=0.00454095 t=57682
ce 	測	c=11 d=5.93288e-006 t=57682
ce bu liao 	測不了	c=1 d=1 t=37629
ce lve 	策略	c=21 d=0.839457 t=57682
ce shi 	測試	c=125 d=1.05331 t=57682
ce shi hai shi 	測試還是	c=1 d=1.00947e-052 t=57682
ce shi huan jing 	測試環境	c=3 d=0.000206543 t=57682
ceng 	層	c=24 d=3.64623e-015 t=57682
ceng 	蹭	c=1 d=1.20814e-048 t=57682
ceng ci 	層次	c=1 d=2.63141e-059 t=57682
ceng ji 	層級	c=5 d=4.01163e-017 t=57682
ceng jing 	曾經	c=6 d=1.14649e-020 t=57682
ceng mian 	層面	c=4 d=4.54825e-015 t=57682
cha 	差	c=6 d=5.16659e-026 t=57682
cha 	插	c=1 d=2.76153e-068 t=57682
cha 	查	c=6 d=7.14099e-010 t=57682
cha 	茶	c=1 d=6.83723e-028 t=57682
cha ba 	插拔	c=2 d=4.05162e-019 t=57682
cha bie 	差別	c=0 d=1.91444e-053 t=57682
cha bu 	插補	c=0 d=0.1 t=46703
cha bu dou 	插補都	c=1 d=1 t=46704
cha bu duo 	差不多	c=5 d=1.45797e-024 t=57682
cha cha 	查查	c=2 d=4.73805e-064 t=57682
cha dao 	查到	c=1 d=1.15341e-032 t=57682
cha dian 	差點	c=1 d=1 t=37685
cha dian 	茶點	c=1 d=1 t=53611
cha ge 	插個	c=1 d=1 t=36345
cha jian 	插件	c=7 d=1.1614e-025 t=57682
cha ju 	差距	c=3 d=8.76247e-035 t=57682
cha kan 	查看	c=22 d=1.06474e-008 t=57682
cha ru 	插入	c=3 d=2.58271e-008 t=57682
cha xia 	插下	c=1 d=4.78074e-054 t=57682
cha xia 	查下	c=1 d=4.8047e-054 t=57682
cha xun 	查詢	c=33 d=2.82281e-010 t=57682
cha xun dan 	查詢單	c=1 d=7.92701e-062 t=57682
cha xun dao 	查詢到	c=1 d=3.37316e-010 t=57682
cha yi 	差異	c=4 d=5.30748e-019 t=57682
cha yi cha 	查一查	c=1 d=3.83533e-050 t=57682
cha zai 	差在	c=1 d=1.05067e-052 t=57682
cha zhao 	查找	c=7 d=0.00246178 t=57682
cha zhi 	差值	c=6 d=2.72932e-035 t=57682
chai 	拆	c=1 d=5.28983e-068 t=57682
chai cheng 	拆成	c=1 d=4.72015e-051 t=57682
chai fen 	拆分	c=1 d=3.01451e-011 t=57682
chai kai 	拆開	c=1 d=3.43523e-048 t=57682
chai ni 	拆你	c=1 d=5.70298e-041 t=57682
chan chu 	產出	c=1 d=2.96398e-018 t=57682
chan pin 	產品	c=35 d=0.00460648 t=57682
chan sheng 	產生	c=1 d=1.31689e-062 t=57682
chan shu 	闡述	c=1 d=1 t=54446
chang 	嚐	c=1 d=2.06966e-028 t=57682
chang 	場	c=1 d=1.58262e-048 t=57682
chang 	長	c=2 d=9.1549e-010 t=57682
chang an 	長安	c=1 d=1 t=37342
chang chi 	常吃	c=2 d=3.9974e-028 t=57682
chang di 	場地	c=1 d=1 t=45870
chang du 	長度	c=8 d=0.0300468 t=57682
chang gong lv 	長功率	c=1 d=8.91973e-009 t=57682
chang jian 	常見	c=1 d=4.10629e-059 t=57682
chang jing 	場景	c=10 d=4.48474e-009 t=57682
chang jing xia 	場景下	c=2 d=1.72591e-007 t=57682
chang shang 	廠商	c=2 d=6.43338e-047 t=57682
chang shi 	嘗試	c=6 d=6.20613e-005 t=57682
chang ting 	常聽	c=1 d=7.47197e-043 t=57682
chang tong 	暢通	c=1 d=1 t=42476
chang yuan 	長遠	c=1 d=1.4605e-015 t=57682
chao 	吵	c=1 d=1 t=40284
chao 	抄	c=3 d=7.08318e-032 t=57682
chao 	超	c=5 d=1.05479 t=51619
chao bei 	朝北	c=0 d=0.1 t=35296
chao biao 	超標	c=2 d=4.44017e-029 t=57682
chao chu 	超出	c=1 d=2.18252e-050 t=57682
chao chu le 	超出了	c=1 d=2.01225e-050 t=57682
chao dan 	炒蛋	c=1 d=1.3451e-076 t=57682
chao guo 	超過	c=3 d=1.7932e-020 t=57682
chao ji 	炒雞	c=6 d=3.41868e-013 t=57682
chao ji 	超級	c=2 d=2.56565e-026 t=57682
chao kuai 	超快	c=3 d=9.07121e-060 t=57682
chao mang 	超忙	c=1 d=4.0258e-032 t=57682
chao neng li 	超能力	c=1 d=1 t=46284
chao song 	抄送	c=1 d=1 t=41582
chao xiang 	朝向	c=3 d=9.42406e-009 t=57682
chao you 	朝右	c=1 d=1 t=50895
chao you 	超有	c=1 d=1 t=50896
chao zan 	超讚	c=1 d=1 t=42181
che 	車	c=0 d=0.1 t=53620
che chu 	扯出	c=0 d=0.1 t=39292
che chu le 	扯出了	c=1 d=1 t=39293
che fei 	車費	c=1 d=6.98225e-069 t=57682
che hui 	撤回	c=1 d=1 t=42484
che ji 	車機	c=2 d=7.07836e-024 t=57682
chen 	晨	c=3 d=4.38669e-042 t=57682
chen 	陳	c=1 d=1.89797e-068 t=57682
chen dian 	沉澱	c=1 d=7.82546e-028 t=57682
chen gong 	陳宮	c=1 d=1 t=47244
chen huai 	陳淮	c=1 d=2.14966e-033 t=57682
chen hui 	晨會	c=4 d=1.08739e-015 t=57682
chen shan 	襯衫	c=1 d=1 t=38178
cheng 	城	c=1 d=1 t=53620
cheng 	成	c=19 d=0.00953692 t=57682
cheng 	撐	c=1 d=1.0975e-065 t=57682
cheng 	程	c=1 d=2.11219e-033 t=57682
cheng bei er 	成貝爾	c=1 d=8.98707e-068 t=57682
cheng ben 	成本	c=10 d=4.94277e-005 t=57682
cheng du 	程度	c=2 d=1 t=44402
cheng gong 	成功	c=22 d=9.14588e-009 t=57682
cheng gong lv 	成功率	c=9 d=0.0409665 t=57682
cheng hu 	稱呼	c=1 d=1 t=41155
cheng hui 	成會	c=1 d=1 t=38635
cheng mian 	成眠	c=1 d=1.71391e-015 t=57682
cheng ren 	承認	c=2 d=4.54031e-027 t=57682
cheng shu 	成熟	c=6 d=1.67478e-008 t=57682
cheng si 	撐死	c=1 d=1 t=50182
cheng wei 	成爲	c=2 d=3.77116e-028 t=57682
cheng wei 	稱爲	c=4 d=3.47105e-023 t=57682
cheng xu 	程序	c=18 d=2.1235e-005 t=57682
cheng xu qi dong 	程序啓動	c=1 d=4.01404e-027 t=57682
cheng ye 	成爺	c=47 d=0.0830064 t=57682
cheng ye 	盛業	c=1 d=2.78351e-073 t=57682
cheng yi tao 	成一套	c=1 d=0.0958472 t=57682
chi 	吃	c=8 d=0.0269169 t=57682
chi 	池	c=4 d=4.37327e-006 t=57682
chi bu 	吃不	c=0 d=0.0449329 t=57682
chi bu bao 	吃不包	c=1 d=0.451581 t=57682
chi de 	吃得	c=1 d=1.48788e-057 t=57682
chi fa 	吃法	c=2 d=1.98511 t=53658
chi fan 	吃飯	c=3 d=1.66264e-040 t=57682
chi ge 	吃個	c=0 d=1.69622e-041 t=57682
chi ge fan 	吃個飯	c=1 d=1.70472e-040 t=57682
chi le 	吃了	c=1 d=1 t=41639
chi quan 	赤犬	c=1 d=2.05857e-053 t=57682
chi wan fan 	吃完飯	c=0 d=5.52596e-024 t=57682
chi xian 	黐線	c=3 d=7.46665e-064 t=57682
chi xu 	持續	c=2 d=1.00002 t=37778
chong 	衝	c=2 d=2.8561e-024 t=57682
chong 	重	c=2 d=1 t=49082
chong dian 	充電	c=1 d=1 t=57673
chong die 	重疊	c=3 d=1.30859e-017 t=57682
chong fen 	充分	c=1 d=1 t=51720
chong fu 	重複	c=14 d=0.0124412 t=57682
chong man 	充滿	c=1 d=1 t=37700
chong qi 	重啓	c=18 d=0.00151855 t=57682
chong ru 	衝入	c=1 d=1 t=56607
chong shi 	重試	c=4 d=3.6718e-008 t=57682
chong tu 	衝突	c=1 d=1 t=52157
chong xian 	重現	c=6 d=0.213833 t=57682
chong xian le 	重現了	c=1 d=1 t=50995
chong xin 	重新	c=56 d=0.0564641 t=57682
chong yi ge 	衝一個	c=1 d=2.87042e-023 t=57682
chong yu 	充裕	c=1 d=5.80002e-063 t=57682
chong zhi 	重置	c=1 d=7.18266e-049 t=57682
chong zhuang 	重裝	c=11 d=0.612976 t=57682
chong zhuang hou 	重裝後	c=1 d=1 t=50279
chong zuo 	重做	c=1 d=1 t=54835
chou 	丑	c=2 d=4.8214e-036 t=57682
chou 	抽	c=3 d=8.8394e-012 t=57682
chou chu lai 	抽出來	c=1 d=1.6904e-029 t=57682
chou ge 	丑哥	c=1 d=2.26187e-014 t=57682
chou hen 	仇恨	c=1 d=1 t=52976
chou kai le 	抽開了	c=1 d=1 t=44521
chou le 	抽了	c=1 d=7.54164e-035 t=57682
chou li 	抽離	c=3 d=1.90301e-011 t=57682
chou xiang 	抽象	c=2 d=6.3019e-010 t=57682
chou yang 	抽樣	c=8 d=1.3046e-022 t=57682
chu 	出	c=16 d=0.559898 t=57682
chu 	初	c=1 d=1.09277e-073 t=57682
chu 	處	c=2 d=1.57018e-014 t=57682
chu 	除	c=2 d=2.5444e-047 t=57682
chu bu 	初步	c=2 d=4.27633e-007 t=57682
chu cuo 	出錯	c=2 d=0.000137073 t=57682
chu dong 	出動	c=1 d=3.29079e-072 t=57682
chu fa 	出發	c=9 d=0.486752 t=57682
chu fa 	觸發	c=54 d=0.481909 t=57682
chu fei 	除非	c=7 d=6.95963e-017 t=57682
chu kou 	出口	c=4 d=3.08961e-049 t=57682
chu lai 	出來	c=20 d=0.000451658 t=57682
chu lai le 	出來了	c=1 d=0.00453922 t=57682
chu le 	出了	c=1 d=5.34044e-033 t=57682
chu le 	除了	c=15 d=4.12855e-005 t=57682
chu li 	處理	c=81 d=2.6708 t=57682
chu li yi ge 	處理一個	c=1 d=1 t=45074
chu li yi xia 	處理一下	c=2 d=3.0584e-034 t=57682
chu lian 	初戀	c=1 d=1 t=54143
chu mai 	出賣	c=2 d=1.28792e-063 t=57682
chu qu 	出去	c=5 d=1.47932e-014 t=57682
chu shen me 	出什麼	c=1 d=1.14899e-075 t=57682
chu shi 	出事	c=1 d=3.58968e-036 t=57682
chu shi hua 	初始化	c=29 d=0.0753961 t=57682
chu shi le 	出事了	c=1 d=1.51535e-037 t=57682
chu wen ti 	出問題	c=3 d=5.18172e-031 t=57682
chu xian 	出現	c=51 d=0.0119865 t=57682
chu xian le 	出現了	c=1 d=1 t=45108
chu xian wen ti 	出現問題	c=1 d=3.06945e-047 t=57682
chu xian zhong 	出現中	c=1 d=5.84039e-027 t=57682
chu xuan 	初選	c=1 d=1 t=56354
chu yu 	處於	c=3 d=1.05756 t=51876
chuan 	串	c=2 d=7.84317e-059 t=57682
chuan 	傳	c=13 d=1.92678e-010 t=57682
chuan 	穿	c=2 d=1 t=57008
chuan can 	傳參	c=1 d=3.35669e-070 t=57682
chuan chu qu 	傳出去	c=1 d=1 t=52561
chuan di 	傳遞	c=6 d=5.99251e-006 t=57682
chuan gei 	傳給	c=1 d=5.85034e-047 t=57682
chuan jian 	船艦	c=2 d=1.03175 t=51350
chuan le 	穿了	c=1 d=5.06929e-067 t=57682
chuan ran 	傳染	c=1 d=1 t=55418
chuan shu 	傳輸	c=4 d=1.09339e-021 t=57682
chuan yi ge 	傳一個	c=1 d=2.07107e-036 t=57682
chuang 	窗	c=5 d=2.65901e-005 t=57682
chuang 	闖	c=1 d=1 t=38236
chuang jian 	創建	c=3 d=1.96561 t=51358
chuang jian ren 	創建人	c=1 d=1 t=45700
chuang jian zhe 	創建者	c=2 d=1 t=50661
chuang kou 	窗口	c=15 d=2.51528e-028 t=57682
chuang ye 	創業	c=3 d=1 t=53641
chun 	純	c=1 d=1.81884e-067 t=57682
chun hong 	春紅	c=0 d=2.65379e-042 t=57682
chun se 	春色	c=1 d=4.93305e-070 t=57682
chun se 	純色	c=2 d=3.98438e-028 t=57682
chun tian 	春天	c=1 d=3.78478e-041 t=57682
ci 	刺	c=1 d=5.87985e-018 t=57682
ci 	呲	c=2 d=5.67164e-035 t=57682
ci 	次	c=17 d=0.151829 t=57682
ci 	詞	c=2 d=1.36851e-030 t=57682
ci dian 	詞典	c=2 d=0.97531 t=57682
ci hui 	詞彙	c=1 d=1.02849e-008 t=57682
ci pai 	詞拍	c=49 d=1.69603 t=57682
ci pan 	磁盤	c=7 d=4.14647e-018 t=57682
ci pin 	詞頻	c=1 d=1.21395e-075 t=57682
ci shi 	此時	c=1 d=2.82173e-057 t=57682
ci shu 	次數	c=5 d=1.30948e-025 t=57682
ci wo 	次臥	c=1 d=1 t=39201
cong 	從	c=31 d=8.35839e-009 t=57682
cong ci 	從此	c=2 d=7.05321e-068 t=57682
cong er 	從而	c=2 d=7.25755e-024 t=57682
cong lai 	從來	c=2 d=4.35887e-026 t=57682
cong shen me 	從什麼	c=1 d=3.75363e-032 t=57682
cu cao 	粗糙	c=1 d=0.108067 t=57682
cu cao ni 	粗糙你	c=1 d=1 t=56788
cu lve 	粗略	c=2 d=0.115903 t=57682
cu wu 	粗五	c=1 d=0.891366 t=57682
cui 	催	c=5 d=6.5839e-025 t=57682
cui fan guan 	催飯館	c=1 d=4.60517e-055 t=57682
cui ni 	催你	c=1 d=0.00109719 t=57682
cun 	存	c=4 d=6.33653e-012 t=57682
cun bu 	寸步	c=1 d=1.97718e-049 t=57682
cun chu 	存儲	c=24 d=0.0118222 t=57682
cun dao 	存到	c=2 d=1.09002e-043 t=57682
cun de 	存的	c=1 d=1 t=52527
cun fang 	存放	c=2 d=3.19428e-016 t=57682
cun zai 	存在	c=21 d=0.124703 t=57682
cuo 	錯	c=15 d=6.9494e-012 t=57682
cuo de 	錯的	c=1 d=1 t=35710
cuo guo 	錯過	c=0 d=1.82014e-047 t=57682
cuo guo le 	錯過了	c=2 d=0.0682212 t=57682
cuo le 	錯了	c=9 d=9.53667e-011 t=57682
cuo luan 	錯亂	c=2 d=3.74521e-035 t=57682
cuo ma 	錯嗎	c=1 d=2.54982e-012 t=57682
cuo shou bu ji 	措手不及	c=1 d=4.29923e-011 t=57682
cuo wei 	錯位	c=2 d=4.03965e-043 t=57682
cuo wu 	錯誤	c=40 d=1.64424 t=57682
cuo wu lv 	錯誤率	c=1 d=5.70996e-026 t=57682
cuo wu ma 	錯誤碼	c=2 d=3.9136e-023 t=57682
da 	大	c=31 d=0.000349251 t=57682
da 	打	c=17 d=0.0347353 t=57682
da an 	答案	c=12 d=0.897223 t=57682
da bai 	打敗	c=1 d=3.91893e-039 t=57682
da bao 	打包	c=16 d=0.00285124 t=57682
da bu 	打不	c=0 d=0.000200924 t=57682
da bu chu 	打不出	c=1 d=0.00222429 t=57682
da bu chu lai 	打不出來	c=1 d=0.0020601 t=57682
da bu dui 	大部隊	c=1 d=2.45067e-016 t=57682
da bu fen 	大部分	c=4 d=1.17431e-008 t=57682
da bu kai 	打不開	c=16 d=0.340417 t=57682
da chu lai 	打出來	c=2 d=4.1851e-018 t=57682
da cuo 	打錯	c=3 d=2.49168e-005 t=57682
da da 	大大	c=2 d=9.74283e-018 t=57682
da da kai 	大大開	c=1 d=3.01482e-071 t=57682
da dao 	達到	c=10 d=1.17128e-007 t=57682
da de 	大的	c=2 d=6.7429e-018 t=57682
da dian hua 	打電話	c=1 d=1 t=51038
da en 	大恩	c=0 d=0.1 t=35122
da fa 	打法	c=1 d=7.15558e-034 t=57682
da fu 	答覆	c=7 d=2.84091e-007 t=57682
da gai 	大概	c=9 d=4.69976e-026 t=57682
da gai dong 	大改動	c=1 d=1.78999e-026 t=57682
da gang 	大綱	c=1 d=0.565525 t=57682
da ge 	大哥	c=3 d=1.10916e-013 t=57682
da ge 	打個	c=10 d=0.00400585 t=57682
da ge bao 	打個包	c=3 d=5.72883e-006 t=57682
da ge che 	打個車	c=1 d=1 t=53621
da gei ni 	大給你	c=1 d=7.33673e-034 t=57682
da gou 	√	c=6 d=1.99501 t=57682
da gou 	打勾	c=2 d=1.94128 t=57682
da gou 	打狗	c=1 d=0.980199 t=57682
da ha 	大哈	c=3 d=1.48514e-006 t=57682
da ha ge 	大哈哥	c=6 d=0.806541 t=57682
da hao 	大號	c=1 d=1 t=55723
da hao 	打好	c=1 d=1.34748e-038 t=57682
da ji dao 	打擊到	c=1 d=3.29773e-038 t=57682
da jia 	大家	c=59 d=0.168387 t=57682
da jia hao 	大家好	c=1 d=4.48827e-076 t=57682
da jin qu 	打進去	c=1 d=2.95371e-036 t=57682
da ka zhuang 	大咖裝	c=3 d=1.24255 t=37043
da kai 	打開	c=45 d=0.000541212 t=57682
da keng 	大坑	c=1 d=0.0152985 t=57682
da lao 	大佬	c=1 d=0.171187 t=57682
da lao hu 	大老虎	c=1 d=1.90268e-009 t=57682
da le 	大了	c=3 d=8.22388e-024 t=57682
da lu 	大陸	c=9 d=2.00897e-012 t=57682
da ma 	大媽	c=2 d=0.00188279 t=57682
da mai 	大麥	c=1 d=1 t=44084
da nan 	大難	c=2 d=1 t=51591
da niu 	大牛	c=3 d=3.1723e-023 t=57682
da pai dang 	大排檔	c=1 d=1 t=35100
da ping mu 	大屏幕	c=1 d=1 t=40261
da qiu 	打球	c=3 d=1.16105 t=42041
da qun 	大羣	c=1 d=4.34364e-073 t=57682
da rao 	打擾	c=16 d=9.79333e-021 t=57682
da ren 	大人	c=1 d=1 t=52922
da ren wu 	大人物	c=1 d=1.64469e-030 t=57682
da ru 	打入	c=1 d=1.6179e-072 t=57682
da sha 	大廈	c=4 d=3.48577 t=35233
da shan 	搭訕	c=1 d=1 t=57146
da shen 	大嬸	c=1 d=1 t=37409
da shen me 	打什麼	c=1 d=1.13756e-075 t=57682
da shi 	大師	c=1 d=0.145398 t=57682
da suan 	打算	c=3 d=5.98315e-017 t=57682
da tou 	大頭	c=2 d=3.19092e-033 t=57682
da tu 	大圖	c=3 d=3.34995e-017 t=57682
da tui 	大腿	c=1 d=6.22057e-063 t=57682
da wan 	打完	c=1 d=2.75253e-059 t=57682
da wen ti 	大問題	c=2 d=1.74277e-035 t=57682
da xiao 	大小	c=31 d=3.16034e-008 t=57682
da xiao xie 	大小寫	c=3 d=2.74029e-036 t=57682
da xiong 	大熊	c=1 d=2.16448e-055 t=57682
da xu qiu 	大需求	c=2 d=2.76886e-011 t=57682
da xu qiu 	打需求	c=5 d=7.02009e-015 t=57682
da xue 	大學	c=1 d=1.48222e-071 t=57682
da xue qiu 	大雪球	c=2 d=2.75505e-011 t=57682
da ye 	大爺	c=2 d=1.73019e-038 t=57682
da yi 	大意	c=2 d=2.44359e-033 t=57682
da yin 	打印	c=4 d=7.76387e-012 t=57682
da ying 	打贏	c=0 d=0.1 t=57011
da ying le 	打贏了	c=1 d=1 t=57012
da yu 	大於	c=1 d=1.06561 t=35212
da yu yu 	大於預	c=1 d=1 t=35213
da yue 	大約	c=1 d=3.0944e-054 t=57682
da zhao 	大招	c=3 d=5.33439e-046 t=57682
da zi 	打字	c=8 d=3.93377e-005 t=57682
da zi ti 	大字體	c=1 d=2.58695e-035 t=57682
da zuo 	打左	c=1 d=1 t=45846
dai 	代	c=1 d=1.79958e-030 t=57682
dai 	帶	c=14 d=0.977606 t=57682
dai 	待	c=1 d=1.71333e-011 t=57682
dai 	貸	c=0 d=1.53951e-077 t=57682
dai an mo 	帶按摩	c=1 d=1 t=44085
dai biao 	代表	c=10 d=5.58449e-012 t=57682
dai dian 	帶點	c=1 d=1 t=54141
dai gei 	帶給	c=0 d=0.1 t=55667
dai gei wo 	帶給我	c=1 d=1 t=55668
dai guo 	帶過	c=1 d=2.08826e-045 t=57682
dai guo qu 	帶過去	c=1 d=7.45371e-073 t=57682
dai hui 	帶回	c=1 d=3.43103e-063 t=57682
dai hui 	待會	c=22 d=0.00967827 t=57682
dai kuan 	貸款	c=4 d=1.51432e-020 t=57682
dai lai 	帶來	c=8 d=0.000191619 t=57682
dai le 	帶了	c=1 d=3.31708e-048 t=57682
dai li 	代理	c=21 d=0.000185029 t=57682
dai ma 	代碼	c=175 d=1.70911 t=57682
dai ma 	帶嗎	c=1 d=6.71076e-073 t=57682
dai ma de 	代碼的	c=1 d=1 t=56428
dai ma li 	代碼裏	c=1 d=1 t=48690
dai mai 	代脈	c=1 d=1 t=50389
dai ni 	帶你	c=1 d=3.57604e-050 t=57682
dai qian 	帶錢	c=1 d=1.50028e-037 t=57682
dai shang 	帶上	c=7 d=5.9043e-008 t=57682
dai ti 	代替	c=2 d=3.07697e-017 t=57682
dai you 	帶有	c=1 d=2.25051e-043 t=57682
dai zhe 	帶着	c=0 d=1.46855e-073 t=57682
dai zhe dai zhe 	帶着帶着	c=1 d=7.37954e-073 t=57682
dai zi 	袋子	c=1 d=5.99518e-070 t=57682
dai zou 	帶走	c=1 d=1 t=56579
dan 	但	c=81 d=0.293308 t=57682
dan 	單	c=38 d=1.53352 t=57682
dan 	膽	c=1 d=1 t=45785
dan 	蛋	c=1 d=0.01649 t=57682
dan bu neng 	但不能	c=1 d=1 t=36669
dan bu que ding 	但不確定	c=1 d=5.50121e-029 t=57682
dan chun 	單純	c=1 d=1 t=43989
dan ci 	單詞	c=2 d=0.740818 t=57682
dan cun 	但存	c=1 d=1 t=43988
dan dan 	丹丹	c=3 d=1.00002 t=57444
dan du 	單獨	c=27 d=0.00192083 t=57682
dan ge 	單個	c=6 d=0.000696582 t=57682
